PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.32,2.64,0.61,0.36,230,56.0,99.0,free,y/s,distr,y/h,"324.43, 173.64","2587.67, 305.43",43.0,11.61344644598684,0.0257282,0.125623,0.0702+-0.0442,0.0153+-0.0015
0,5.710332066416301,4.343234966380013,0.6599243774401562,0.25601260131295656,295,48.20673062932414,67.75876350880083,free,y/h,free,e/u,"3313.08, 212.76","3635.85, 690.65",42.11047747728135,12.370316826616186,0.324104,0.423934,0.0602+-0.0000,0.9247+-0.0026
0,5.71,4.34,0.66,0.26,294,48.0,67.0,free,y/h,free,e/u,"3313.08, 212.76","3635.85, 690.65",42.0,12.37029545103783,0.328317,0.428233,0.0561+-0.0033,0.9088+-0.0016
0,5.71,4.34,0.66,0.26,196,48.0,67.0,free,y/h,free,e/u,"813.97, 185.77","3635.85, 690.65",42.0,12.34028160740231,0.0,0.0981446,0.0348+-0.0051,0.9286+-0.0013
3,5.71,4.34,0.66,0.26,98,48.0,67.0,free,y/h,free,e/u,"481.36, 181.43","2932.82, 195.54",42.0,12.31121292608922,0.0,0.0981446,0.0254+-0.0002,0.0501+-0.0000
0,5.71,4.34,0.66,0.26,294,48.0,67.0,free,y/h,free,e/u,"3313.08, 212.76","3635.85, 690.65",42.0,12.37029545103783,0.305315,0.40515,0.0610+-0.0003,0.9219+-0.0054
0,5.71,4.34,0.66,0.26,196,28.0,67.0,free,y/h,free,e/u,"813.97, 186.00","3635.85, 690.65",42.0,12.3402750226334,0.0,0.0981446,0.0393+-0.0000,0.9179+-0.0014
3,5.71,4.34,0.66,0.26,98,28.0,67.0,free,y/h,free,e/u,"465.57, 182.00","2932.81, 195.54",42.0,12.31120973921352,0.0,0.0981446,0.0254+-0.0002,0.0619+-0.0014
0,5.71,4.34,0.66,0.26,294,48.0,67.0,free,y/h,free,e/u,"3313.08, 212.76","3635.85, 690.65",42.0,12.37029545103783,0.337396,0.43722,0.0526+-0.0012,0.9273+-0.0000
0,5.71,4.34,0.66,0.26,196,48.0,67.0,free,y/h,free,e/u,"833.96, 185.09","3635.85, 690.65",42.0,12.34029182933054,0.0,0.0981446,0.0447+-0.0047,0.9219+-0.0054
3,5.71,4.34,0.66,0.26,98,48.0,40.0,free,y/h,free,e/u,"501.10, 181.25","2878.83, 195.50",42.0,12.31123208316378,0.0,0.0981446,0.0254+-0.0002,0.0501+-0.0000
0,5.437786195932696,2.1521604867292874,0.7388661163504062,0.24322235666026254,398,96.0146704768368,52.18372219744238,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.75390709940346,11.87287095234119,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,397,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.87284346949904,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
