PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.231351032837112,2.163336533251288,0.5232903957255932,0.3827940807994324,186,48.29698184058517,39.57590760712334,free,y/h,free,e/h,"3138.2, 228.91","1217.09, 746.95",78.1862625875848,12.14183008,,,,
0,5.187482287679861,2.321470798690584,0.7903684063048372,0.3823699366870907,100,98.24789402313633,31.62962873053229,foc,y/s,distr,y/h,"377.77, 164.14","4200.11, 792.34",75.34412366232962,11.63124338,,,,
0,6.670903885571065,2.34292194570764,0.7393843120776551,0.3790017519033873,440,57.81904228135952,43.85343315235313,foc,y/u,distr,e/s,"2701.9, 163.62","1449.88, 242.42",98.93889974746088,11.12842676,,,,
0,5.229378780592394,3.3901352770775217,0.504204205734735,0.3674371276077929,509,96.11914306998096,54.59767500724482,foc,e/h,foc,y/h,"1880.7, 368.9","2208.45, 330.22",78.56330744524996,11.45492629,,,,
4,5.069073786270251,4.006064641471317,0.7390393354549231,0.36440073124755,1,89.96002569826325,35.58048884123755,foc,y/h,free,y/u,"1320.74, 433.92","2877.66, 195.43",84.05707813303877,11.40496677,,,,
0,5.041897426192791,3.1239314629702526,0.6541465385611266,0.3733309387158596,170,59.34054906938079,94.55756379338938,free,e/s,foc,y/h,"3035.95, 476.62","3222.69, 767.67",71.5456472309101,11.84423621,,,,
3,5.091503675983591,4.006882015441795,0.7029356650209244,0.3713216942559968,138,76.60710440598406,75.69234463504523,distr,e/h,foc,e/h,"493.4, 185.08","2851.4, 200.13",80.67389855092,11.91332028,,,,
0,5.476475287277444,2.2532806703825785,0.7841281931114067,0.3814493286008088,162,99.7590797023991,57.39674967219056,free,y/s,distr,y/s,"210.64, 762.82","1730.07, 368.56",38.18180176722437,12.16921658,,,,
0,5.006238844353322,4.029575422448081,0.5322556897165198,0.3414061714777342,599,34.0858437561254,39.740901992764606,foc,y/h,distr,e/s,"3059.04, 338.15","2547.95, 572.69",77.91972687310168,11.17753847,,,,
2,5.10610545791565,4.003597508267446,0.7851500719803695,0.1224338908663002,92,81.84926129359431,31.233407870852247,free,e/s,foc,e/h,"836.12, 210.0","2504.14, 199.66",91.76262879793768,11.21450668,,,,
