PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,PRSCS_LB,PRSCS_UB,SCS,FTG_HUM_1_LB,FTG_HUM_1_UB,FTG_HUM_1,FTG_HUM_2_LB,FTG_HUM_2_UB,FTG_HUM_2
1,5.59,2.6,0.56,0.26,125,59.0,92.0,free,e,s,free,y,s,378.98,174.24,2432.66,613.06,85.0,12.30137526,0.0,0.0981446,0,0.6102,0.003,0.3066,0.1435,0.0086,0.07605
0,5.59,2.6,0.56,0.26,377,59.0,92.0,free,e,s,free,y,s,4161.81,215.39,2432.66,613.06,85.0,12.37726363,0.0,0.0981446,0,0.657,0.0,0.3285,0.0,0.0,0.0
1,5.59,2.6,0.56,0.26,125,59.0,92.0,free,e,s,free,y,s,355.63,173.8,2432.66,613.06,85.0,12.30137698,0.0,0.0981446,0,0.6082,0.001,0.3046,0.1436,0.0,0.0718
0,5.907132457,4.212802105,0.7070225267,0.1308784178,661,38.62007379,97.53342964,foc,y,u,distr,e,s,4329.73,386.37,1449.88,242.42,60.66141606,11.19477245,0.0,0.0981446,0,0.7308,0.0034,0.3671,0.0,0.0,0.0
0,5.91,4.21,0.71,0.13,660,38.0,97.0,foc,y,u,distr,e,s,4329.73,386.37,1449.88,242.42,60.0,11.19472359,0.0,0.0981446,0,0.7342,0.0,0.3671,0.0,0.0,0.0
0,5.91,4.21,0.71,0.13,440,38.0,97.0,foc,y,u,distr,e,s,2701.9,163.62,1449.88,242.42,60.0,11.12844566,0.0,0.0981446,0,0.7472,0.0,0.3736,0.1343,0.0169,0.0756
0,5.91,4.21,0.71,0.13,220,38.0,97.0,foc,y,u,distr,e,s,2701.9,163.62,1449.88,242.42,60.0,11.11011799,0.0,0.0981446,0,0.5672,0.0054,0.2863,0.0,0.0,0.0
0,5.91,4.21,0.71,0.13,660,38.0,97.0,foc,y,u,distr,e,s,4329.73,386.37,1449.88,242.42,60.0,11.19472359,0.0,0.0981446,0,0.7308,0.0034,0.3671,0.0,0.0,0.0
0,5.91,4.21,0.71,0.13,660,38.0,97.0,foc,y,u,distr,e,s,4329.73,386.37,1449.88,242.42,60.0,11.19472359,0.0,0.0981446,0,0.7308,0.0034,0.3671,0.0,0.0,0.0
0,5.91,4.21,0.71,0.13,440,38.0,97.0,foc,y,u,distr,e,s,2701.9,163.62,1449.88,242.42,60.0,11.12842676,0.0,0.0981446,0,0.7503,0.0031,0.3767,0.1415,0.0053,0.0734
0,5.91,4.21,0.71,0.13,220,38.0,97.0,foc,y,u,distr,e,s,2701.9,163.62,1449.88,242.42,60.0,11.11012214,0.0,0.0981446,0,0.5618,0.0,0.2809,0.0,0.0,0.0
1,6.66,3.14,0.69,0.31,134,36.0,93.0,distr,e,h,free,e,u,579.94,193.98,1310.66,190.93,49.0,11.2203973,0.0,0.0981446,0,0.5972,0.0141,0.30565,0.6044,0.0069,0.30565
1,6.66,3.14,0.69,0.31,269,36.0,93.0,distr,e,h,free,e,u,761.49,187.5,1500.49,362.55,49.0,11.26011115,0.445099,0.545024,0,0.5903,0.0072,0.29875,0.618,0.0067,0.31235
0,6.548398864,3.490818206,0.5087270148,0.3780866429,469,77.61437062,95.06110578,distr,y,u,distr,e,h,3077.84,434.87,3537.83,710.51,45.55397122,12.17369301,0.0,0.0981446,0,0.8849,0.039,0.46195,0.0,0.0,0.0
0,6.55,3.49,0.51,0.38,468,77.0,95.0,distr,y,u,distr,e,h,3077.84,434.87,3537.83,710.51,45.0,12.17365942,0.0,0.0981446,0,0.9599,0.0122,0.48605,0.0,0.0,0.0
0,6.55,3.49,0.51,0.38,156,77.0,95.0,distr,y,u,distr,e,h,266.1,133.03,3537.83,710.51,45.0,12.08047081,0.0,0.0981446,0,0.3455,0.3455,0.3455,0.0061,0.0044,0.00525
0,6.55,3.49,0.51,0.38,468,77.0,95.0,distr,y,u,distr,e,h,3077.84,434.87,3537.83,710.51,45.0,12.17365942,0.0,0.0981446,0,0.9452,0.0044,0.4748,0.0,0.0,0.0
0,6.55,3.49,0.51,0.38,312,77.0,95.0,distr,y,u,distr,e,h,307.02,136.11,3537.83,710.51,45.0,12.12664269,0.0,0.0981446,0,0.2387,0.2387,0.2387,0.0149,0.0003,0.0076
0,6.55,3.49,0.51,0.38,468,77.0,95.0,distr,y,u,distr,e,h,3077.84,434.87,3537.83,710.51,45.0,12.17365942,0.0,0.0981446,0,0.8955,0.0183,0.4569,0.0008,0.0008,0.0008
0,6.55,3.49,0.51,0.38,312,77.0,95.0,distr,y,u,distr,e,h,309.89,136.34,3537.83,710.51,45.0,12.12664269,0.0,0.0981446,0,0.4393,0.1114,0.27535,0.0237,0.0037,0.0137
0,6.55,3.49,0.51,0.38,156,77.0,95.0,distr,y,u,distr,e,h,302.06,149.91,3537.83,710.51,45.0,12.0804672,0.0,0.0981446,0,0.3947,0.082,0.23835,0.0178,0.0178,0.0178
0,5.63713184,4.071404097,0.5362653315,0.1740289266,258,34.95411032,57.89940835,distr,e,u,foc,e,h,387.72,259.61,2926.68,408.94,83.07207509,12.39722587,0.000468738,0.0989152,0,0.7942,0.0748,0.4345,0.0185,0.004,0.01125
0,5.64,4.07,0.54,0.17,257,34.0,57.0,distr,e,u,foc,e,h,387.72,259.61,2926.68,408.94,83.0,12.39720755,0.000468738,0.0989152,0,0.7755,0.1266,0.45105,0.0263,0.0012,0.01375
4,5.64,4.07,0.54,0.17,85,34.0,57.0,distr,e,u,foc,e,h,752.38,229.39,2836.39,202.31,83.0,12.34536229,0.0,0.0981446,0,0.9879,0.0012,0.49455,0.0,0.0,0.0
0,5.64,4.07,0.54,0.17,257,34.0,57.0,distr,e,u,foc,e,h,387.72,259.61,2926.68,408.94,83.0,12.39720755,0.0,0.0981446,0,0.6346,0.0817,0.35815,0.0202,0.001,0.0106
4,5.64,4.07,0.54,0.17,85,34.0,57.0,distr,e,u,foc,e,h,1241.96,193.82,2881.39,201.67,83.0,12.34535941,0.0,0.0981446,0,0.9951,0.0033,0.4992,0.0,0.0,0.0
0,5.64,4.07,0.54,0.17,257,34.0,57.0,distr,e,u,foc,e,h,387.72,259.61,2926.68,408.94,83.0,12.39720755,0.0,0.0981446,0,0.6165,0.0336,0.32505,0.0236,0.0014,0.0125
4,5.64,4.07,0.54,0.17,85,34.0,57.0,distr,e,u,foc,e,h,500.0,200.0,2870.51,201.68,83.0,12.34537326,0.0,0.0981446,0,0.9339,0.0506,0.49225,0.0,0.0,0.0
