Iteration_duration,PSCS__TAU
4.469523906707764,270
4.461436033248901,183
4.502955198287964,178
4.4632182121276855,695
4.489520072937012,223
4.571727752685547,404
4.462029218673706,317
4.429150104522705,435
4.418546915054321,188
4.369316101074219,223
4.619087219238281,97
4.535301923751831,340
4.529567718505859,636
4.556993007659912,1
4.535265922546387,311
4.539812088012695,253
4.443325042724609,121
4.487940073013306,335
4.906543970108032,215
4.420677185058594,315
4.458915948867798,339
4.353298187255859,159
4.351410865783691,369
4.463642835617065,1
4.350075960159302,152
4.559880018234253,499
4.504148006439209,495
4.531858205795288,405
4.483541965484619,385
4.472358226776123,1
4.375347852706909,183
4.517712831497192,273
4.380929946899414,1
4.421928882598877,279
4.428070306777954,156
4.431652069091797,119
4.481735944747925,547
4.332475185394287,96
4.487479209899902,337
4.390718936920166,419
4.459019899368286,123
4.355391025543213,351
4.342138051986694,125
4.34518575668335,690
4.354211807250977,404
4.343541145324707,688
4.398744106292725,180
4.551424980163574,312
4.452544927597046,1
4.652109861373901,109
4.482420921325684,323
4.318203926086426,339
4.35273003578186,461
4.443892955780029,269
4.38892388343811,363
4.435294151306152,693
4.477755784988403,196
5.066656112670898,424
4.411967039108276,253
4.548569679260254,231
4.63957405090332,506
4.423149108886719,176
4.524107933044434,202
4.4270570278167725,336
4.490417003631592,643
4.588834762573242,165
4.4649598598480225,469
4.429034948348999,289
4.428187847137451,92
4.436194181442261,1
4.730940103530884,392
4.563629150390625,365
4.465769052505493,162
4.484018087387085,103
4.475543022155762,419
4.5490851402282715,498
4.500009059906006,116
4.500553846359253,1
4.643095016479492,545
4.738430023193359,377
4.516982078552246,1
4.369892835617065,274
4.487674951553345,210
4.457556962966919,193
4.49120306968689,513
4.352665901184082,325
4.340014934539795,498
4.31807804107666,309
4.329459190368652,229
4.391554117202759,201
4.368852138519287,1
4.428224086761475,250
4.418437957763672,441
4.3728601932525635,169
4.485615968704224,565
4.3455870151519775,1
4.360734939575195,414
4.329028129577637,377
4.42043399810791,381
4.311949968338013,1
4.396995306015015,169
4.478362083435059,210
4.3271167278289795,466
4.424722909927368,1
4.361120939254761,1
4.3354411125183105,692
4.437176942825317,463
4.468273878097534,1
4.432448863983154,507
4.338409185409546,488
4.482203960418701,1
4.3544020652771,145
4.495625257492065,115
4.581934690475464,155
4.345087051391602,489
4.366962194442749,170
4.451016902923584,511
4.427174091339111,530
4.419733047485352,687
4.440931081771851,214
4.4833738803863525,119
4.465429782867432,440
4.594987869262695,468
4.420576095581055,1
4.4860522747039795,513
4.342767953872681,176
4.412945032119751,257
4.452075004577637,505
4.422615051269531,363
4.407321929931641,181
4.367462158203125,290
4.330280780792236,229
4.342867136001587,98
4.467425107955933,328
4.471491098403931,546
4.487632989883423,363
4.333505868911743,131
4.483938217163086,182
4.367173194885254,92
4.359320163726807,311
4.470109939575195,167
4.464306831359863,94
4.447786092758179,601
4.4684388637542725,435
4.411408185958862,545
4.344931125640869,293
4.423443078994751,466
4.385354995727539,558
4.331961154937744,606
4.310820817947388,115
4.3375160694122314,360
4.340751647949219,138
4.527472972869873,402
4.359526872634888,138
4.362661838531494,180
4.48861837387085,305
4.405200004577637,606
4.340046644210815,328
4.333655834197998,1
4.319790840148926,499
4.4393370151519775,89
4.348305702209473,243
4.329401731491089,253
4.301528692245483,330
4.430465221405029,310
4.436554908752441,694
4.336044073104858,181
4.327500820159912,500
4.321984052658081,112
4.3122148513793945,156
4.327829837799072,365
4.331717252731323,312
4.333972215652466,1
4.364901781082153,545
4.3226189613342285,146
4.336323022842407,1
4.3098742961883545,176
4.326822996139526,311
4.470577955245972,558
4.389225959777832,294
4.335576057434082,435
4.348077774047852,1
4.357531309127808,434
4.317477226257324,337
4.422878980636597,357
4.496257066726685,376
4.372420072555542,223
4.326726913452148,103
4.317133665084839,121
4.333477020263672,241
4.311310052871704,156
4.348617792129517,419
4.50052285194397,642
4.432096004486084,1
4.337325096130371,167
4.339429140090942,363
4.3195390701293945,221
4.343852758407593,231
4.323654890060425,84
4.32674503326416,138
4.304894924163818,144
4.321687936782837,167
4.324428081512451,198
4.314831733703613,284
4.314809083938599,202
